Date,Bitcoin Close Price,Dow Jones Close Price
2018-10-14,6596.54,
2018-10-15,6596.11,25250.55
2018-10-16,6544.43,25798.42
2018-10-17,6476.71,25706.68
2018-10-18,6465.41,25379.45
2018-10-19,6489.19,25444.34
2018-10-20,6482.35,
2018-10-21,6487.16,
2018-10-22,6475.74,25317.41
2018-10-23,6495.84,25191.43
2018-10-24,6476.29,24583.42
2018-10-25,6474.75,24984.55
2018-10-26,6480.38,24688.31
2018-10-27,6486.39,
2018-10-29,6332.63,24442.92
2018-10-30,6334.27,24874.64
2018-10-31,6317.61,25115.76
2018-11-01,6377.78,25380.74
2018-11-02,6388.44,25270.83
2018-11-03,6361.26,
2018-11-04,6376.13,
2018-11-05,6419.66,25461.7
2018-11-06,6461.01,25635.01
2018-11-07,6530.14,26180.3
2018-11-08,6453.72,26191.22
2018-11-09,6385.62,25989.3
2018-11-10,6409.22,
2018-11-11,6411.27,
2018-11-12,6371.27,25387.18
2018-11-13,6359.49,25286.49
2018-11-14,5738.35,25080.5
2018-11-15,5648.03,25289.27
2018-11-16,5575.55,25413.22
2018-11-17,5554.33,
2018-11-18,5623.54,
2018-11-19,4871.49,25017.44
2018-11-20,4451.87,24465.64
2018-11-21,4602.17,24464.69
2018-11-22,4365.94,
2018-11-23,4347.11,24285.95
2018-11-24,3880.76,
2018-11-25,4009.97,
2018-11-26,3779.13,24640.24
2018-11-27,3820.72,24748.73
2018-11-28,4257.42,25366.43
2018-11-29,4278.85,25338.84
2018-11-30,4017.27,25538.46
2018-12-01,4214.67,
2018-12-02,4139.88,
2018-12-03,3894.13,25826.43
2018-12-04,3956.89,25027.07
2018-12-05,3753.99,
2018-12-06,3521.1,24947.67
2018-12-07,3419.94,24388.95
2018-12-08,3476.11,
2018-12-09,3614.23,
2018-12-10,3502.66,24423.26
2018-12-11,3424.59,24370.24
2018-12-12,3486.95,24527.27
2018-12-13,3313.68,24597.38
2018-12-14,3242.48,24100.51
2018-12-15,3236.76,
2018-12-16,3252.84,
2018-12-17,3545.86,23592.98
2018-12-18,3696.06,23675.64
2018-12-19,3745.95,23323.66
2018-12-20,4134.44,22859.6
2018-12-21,3896.54,22445.37
2018-12-22,4014.18,
2018-12-23,3998.98,
2018-12-24,4078.6,21792.2
2018-12-25,3815.49,
2018-12-26,3857.3,22878.45
2018-12-27,3654.83,23138.82
2018-12-28,3923.92,23062.4
2018-12-29,3820.41,
2018-12-30,3865.95,
2018-12-31,3742.7,23327.46
2019-01-01,3843.52,
2019-01-02,3943.41,23346.24
2019-01-03,3836.74,22686.22
2019-01-04,3857.72,23433.16
2019-01-05,3845.19,
2019-01-06,4076.63,
2019-01-07,4025.25,23531.35
2019-01-08,4030.85,23787.45
2019-01-09,4035.3,23879.12
2019-01-10,3678.92,24001.92
2019-01-11,3687.37,23995.95
2019-01-12,3661.3,
2019-01-13,3552.95,
2019-01-14,3706.05,23909.84
2019-01-15,3630.68,24065.59
2019-01-16,3655.01,24207.16
2019-01-17,3678.56,24370.1
2019-01-18,3657.84,24706.35
2019-01-19,3728.57,
2019-01-20,3601.01,
2019-01-21,3576.03,
2019-01-22,3604.58,24404.48
2019-01-23,3585.12,24575.62
2019-01-24,3600.87,24553.24
2019-01-25,3599.77,24737.2
2019-01-26,3602.46,
2019-01-27,3583.97,
2019-01-28,3470.45,24528.22
2019-01-29,3448.12,24579.96
2019-01-30,3486.18,25014.86
2019-01-31,3457.79,24999.67
2019-02-01,3487.95,25063.89
2019-02-02,3521.06,
2019-02-03,3464.01,
2019-02-04,3459.15,25239.37
2019-02-05,3466.36,25411.52
2019-02-06,3413.77,25390.3
2019-02-07,3399.47,25169.53
2019-02-08,3666.78,25106.33
2019-02-09,3671.2,
2019-02-10,3690.19,
2019-02-11,3648.43,25053.11
2019-02-12,3653.53,25425.76
2019-02-13,3632.07,25543.27
2019-02-14,3616.88,25439.39
2019-02-15,3620.81,25883.25
2019-02-16,3629.79,
2019-02-17,3673.84,
2019-02-18,3915.71,
2019-02-19,3947.09,25891.32
2019-02-20,3999.82,25954.44
2019-02-21,3954.12,25850.63
2019-02-22,4005.53,26031.81
2019-02-23,4142.53,
2019-02-24,3810.43,
2019-02-25,3882.7,26091.95
2019-02-26,3854.36,26057.98
2019-02-27,3851.05,25985.16
2019-02-28,3854.79,25916.0
2019-03-01,3859.58,26026.32
2019-03-02,3864.42,
2019-03-03,3847.18,
2019-03-04,3761.56,25819.65
2019-03-05,3896.38,25806.63
2019-03-06,3903.94,25673.46
2019-03-07,3911.48,25473.23
2019-03-08,3901.13,25450.24
2019-03-09,3963.31,
2019-03-10,3951.6,
2019-03-11,3905.23,25650.88
2019-03-12,3909.16,25554.66
2019-03-13,3906.72,25702.89
2019-03-14,3924.37,25709.94
2019-03-15,3960.91,25848.87
2019-03-16,4048.73,
2019-03-17,4025.23,
2019-03-18,4032.51,25914.1
2019-03-19,4071.19,25887.38
2019-03-20,4087.48,25745.67
2019-03-21,4029.33,25962.51
2019-03-22,4023.97,25502.32
2019-03-23,4035.83,
2019-03-24,4022.17,
2019-03-25,3963.07,25516.83
2019-03-26,3985.08,25657.73
2019-03-27,4087.07,25625.59
2019-03-28,4069.11,25717.46
2019-03-29,4098.37,25928.68
2019-03-30,4106.66,
2019-03-31,4105.4,
