Date,GOOGL High,GOOGL Low,GOOGL Volume
2016-05-17,735.8499755859375,718.0,1670200
2016-05-18,725.5700073242188,715.02001953125,1626800
2016-05-19,720.5,710.3099975585938,1529900
2016-05-20,727.7000122070312,715.010009765625,1739900
2016-05-23,723.5,716.9400024414062,1240800
2016-05-24,734.2000122070312,719.6500244140625,1894200
2016-05-25,739.8900146484375,732.5999755859375,1610800
2016-05-26,741.0999755859375,733.0,1360100
2016-05-27,747.9099731445312,737.010009765625,1740100
2016-05-31,753.47998046875,745.5700073242188,2124200
2016-06-01,751.3699951171875,744.3400268554688,1039400
2016-06-02,747.2999877929688,737.0,1695800
2016-06-03,741.489990234375,733.9099731445312,1230400
2016-06-06,738.5,728.2899780273438,1499600
2016-06-07,736.7100219726562,730.7999877929688,1215700
2016-06-08,743.8099975585938,735.77001953125,1615700
2016-06-09,743.9299926757812,736.5,959000
2016-06-10,739.6400146484375,730.510009765625,1452500
2016-06-13,739.0,729.8200073242188,1167700
2016-06-14,736.0,726.5,1329200
2016-06-15,737.1500244140625,731.3099975585938,1161700
2016-06-16,730.3900146484375,715.5399780273438,2250100
2016-06-17,721.3900146484375,701.1199951171875,4113100
2016-06-20,715.8699951171875,705.4099731445312,2282700
2016-06-21,715.3800048828125,704.6599731445312,1515900
2016-06-22,714.2100219726562,705.8800048828125,1452900
2016-06-23,714.8800048828125,700.25,2125000
2016-06-24,705.0,684.9099731445312,4771800
2016-06-27,683.3300170898438,672.6599731445312,2907300
2016-06-28,692.739990234375,684.8499755859375,1912300
2016-06-29,699.5,692.6799926757812,2156200
2016-06-30,703.77001953125,694.9000244140625,2112500
2016-07-01,712.530029296875,703.72998046875,1549200
2016-07-05,708.1199951171875,699.1300048828125,1422000
2016-07-06,713.0,699.0,1445100
2016-07-07,710.1699829101562,700.6699829101562,1058700
2016-07-08,717.9000244140625,708.1099853515625,1497300
2016-07-11,728.9299926757812,718.8699951171875,1441100
2016-07-12,735.5999755859375,727.5,1323400
2016-07-13,735.52001953125,729.02001953125,1021800
2016-07-14,736.1400146484375,730.5900268554688,1070400
2016-07-15,741.0,734.6400146484375,1617100
2016-07-18,755.1400146484375,736.510009765625,1934900
2016-07-19,756.5900268554688,748.489990234375,1521800
2016-07-20,760.6400146484375,754.0499877929688,1125100
2016-07-21,758.1500244140625,751.52001953125,953100
2016-07-22,759.4500122070312,752.6599731445312,1046000
2016-07-25,759.8200073242188,754.0700073242188,1073300
2016-07-26,759.260009765625,752.75,1189600
2016-07-27,764.4500122070312,755.9299926757812,1608600
2016-07-28,768.969970703125,759.0900268554688,3673200
2016-07-29,803.9400024414062,790.0,5090500
2016-08-01,807.489990234375,785.0399780273438,3029700
2016-08-02,802.3200073242188,794.530029296875,1996400
2016-08-03,799.5399780273438,793.02001953125,1460300
2016-08-04,800.2000122070312,793.9199829101562,1076000
2016-08-05,807.219970703125,797.8099975585938,1807300
2016-08-08,807.5999755859375,801.6900024414062,1221300
2016-08-09,813.3300170898438,804.0599975585938,1607700
2016-08-10,810.8800048828125,806.489990234375,918500
2016-08-11,813.8800048828125,806.0,1282300
2016-08-12,807.1900024414062,803.6400146484375,897300
2016-08-15,811.3599853515625,804.030029296875,929800
2016-08-16,804.260009765625,797.0,1057900
2016-08-17,805.6300048828125,796.2999877929688,1066100
2016-08-18,808.0,801.6300048828125,864600
2016-08-19,801.22998046875,796.8800048828125,1120800
2016-08-22,799.2999877929688,794.3300170898438,852800
2016-08-23,801.0,795.989990234375,917500
2016-08-24,798.4600219726562,790.760009765625,1283600
2016-08-25,794.719970703125,787.22998046875,1202700
2016-08-26,799.4000244140625,789.4099731445312,1248900
2016-08-29,798.52001953125,790.3200073242188,773700
2016-08-30,798.0,789.469970703125,1167400
2016-08-31,791.5700073242188,787.2000122070312,1071400
2016-09-01,792.8900146484375,786.3300170898438,1303500
2016-09-02,797.0999755859375,793.260009765625,1349900
2016-09-06,810.8900146484375,795.4299926757812,1989500
