Date,Dow Jones Volume,NASDAQ Volume
2019-11-01,270870000,2057310000
2019-11-04,273030000,2149910000
2019-11-05,286350000,2316710000
2019-11-06,237910000,2332650000
2019-11-07,259020000,2393950000
2019-11-08,221440000,1974190000
2019-11-11,202350000,1715470000
2019-11-12,213670000,1987820000
2019-11-13,278390000,2173320000
2019-11-14,303970000,2106550000
2019-11-15,283720000,2188210000
2019-11-18,252320000,2047240000
2019-11-19,245890000,2075000000
2019-11-20,258140000,2596030000
2019-11-21,232020000,2056230000
2019-11-22,214780000,1877090000
2019-11-25,248420000,2256070000
2019-11-26,324050000,2434570000
2019-11-27,198210000,1744580000
2019-11-29,120630000,1099090000
2019-12-02,236610000,2225940000
2019-12-03,275350000,2308600000
2019-12-04,218200000,2150680000
2019-12-05,208600000,2123380000
2019-12-06,223310000,2053530000
2019-12-09,217000000,2088520000
2019-12-10,213250000,2053390000
2019-12-11,213510000,1937850000
2019-12-12,277740000,2388270000
2019-12-13,250660000,2188720000
2019-12-16,286770000,2346290000
2019-12-17,286770000,2374120000
2019-12-18,289890000,2727870000
2019-12-19,262570000,2415950000
2019-12-20,603780000,3825460000
2019-12-23,223530000,2025450000
2019-12-24,86150000,1014520000
2019-12-26,155970000,1634920000
2019-12-27,182280000,1832200000
2019-12-30,181600000,2042420000
2019-12-31,193340000,2182800000
2020-01-02,251820000,2848370000
2020-01-03,239590000,2567400000
2020-01-06,252760000,2788120000
2020-01-07,258900000,2352850000
2020-01-08,291750000,2464090000
2020-01-09,275060000,2534700000
2020-01-10,237830000,2378990000
2020-01-13,249830000,2530270000
2020-01-14,287440000,2542170000
2020-01-15,260270000,2435650000
2020-01-16,252110000,2301400000
2020-01-17,321820000,2522670000
2020-01-21,320640000,2684540000
2020-01-22,283440000,2449390000
2020-01-23,307060000,2460050000
2020-01-24,380010000,2611710000
2020-01-27,337270000,2583330000
2020-01-28,330140000,2157830000
2020-01-29,302290000,2223480000
2020-01-30,326850000,2333500000
2020-01-31,403890000,2685840000
2020-02-03,307910000,2420510000
2020-02-04,332750000,2445420000
2020-02-05,357540000,2462470000
2020-02-06,263700000,2267300000
2020-02-07,252860000,2238670000
2020-02-10,250510000,2179310000
