Date,Dow Jones Low,NASDAQ Low
2020-03-17,19882.26,6828.91
2020-03-18,18917.46,6686.36
2020-03-19,19177.13,6858.38
2020-03-20,19094.27,6854.67
2020-03-23,18213.65,6631.42
2020-03-24,19649.25,7169.86
2020-03-25,20538.34,7276.4
2020-03-26,21427.1,7462.21
2020-03-27,21469.27,7491.14
2020-03-30,21522.08,7539.97
2020-03-31,21852.08,7642.86
2020-04-01,20784.43,7301.98
2020-04-02,20735.02,7307.95
2020-04-03,20863.09,7288.11
2020-04-06,21693.63,7617.79
2020-04-07,22634.45,7881.22
2020-04-08,22682.99,7901.94
2020-04-09,23504.09,8072.32
2020-04-13,23095.35,8035.95
2020-04-14,23683.44,8338.08
2020-04-15,23233.32,8308.79
2020-04-16,23211.38,8393.27
2020-04-17,23817.15,8531.69
2020-04-20,23627.19,8553.38
2020-04-21,22941.88,8215.69
2020-04-22,23339.6,8404.54
2020-04-23,23483.35,8475.2
2020-04-24,23417.68,8464.42
2020-04-27,23840.61,8697.37
2020-04-28,24031.2,8600.7
2020-04-29,24453.99,8765.01
2020-04-30,24186.9,8825.83
2020-05-01,23645.3,8566.84
2020-05-04,23361.16,8537.83
2020-05-05,23868.91,8781.31
2020-05-06,23661.14,8819.37
2020-05-07,23834.39,8932.86
2020-05-08,24107.05,9018.21
2020-05-11,24070.22,9053.17
2020-05-12,23761.58,9000.07
2020-05-13,23067.64,8752.68
2020-05-14,22789.62,8705.25
2020-05-15,23354.15,8821.38
2020-05-18,24059.98,9154.35
2020-05-19,24202.96,9183.25
2020-05-20,24455.94,9304.2
2020-05-21,24370.88,9254.85
2020-05-22,24294.07,9239.41
2020-05-26,24781.84,9333.16
2020-05-27,25009.87,9144.28
2020-05-28,25358.73,9345.28
2020-05-29,25031.67,9324.73
2020-06-01,25220.66,9462.32
2020-06-02,25523.74,9472.08
2020-06-03,25906.88,9627.17
2020-06-04,26082.31,9560.41
2020-06-05,26836.8,9685.35
2020-06-08,27232.48,9780.61
2020-06-09,27151.06,9863.27
2020-06-10,26938.05,9962.58
2020-06-11,25082.72,9491.31
2020-06-12,25078.41,9413.62
2020-06-15,24843.18,9403.0
2020-06-16,25811.7,9748.38
2020-06-17,26068.41,9891.81
2020-06-18,25848.53,9885.66
2020-06-19,25759.66,9872.94
2020-06-22,25667.68,9916.6
2020-06-23,26105.97,10112.44
2020-06-24,25296.73,9842.22
2020-06-25,25209.79,9810.47
2020-06-26,24971.03,9749.07
2020-06-29,25096.16,9663.61
2020-06-30,25475.14,9863.67
